,team,pick_number,round,pick,value_2qb
0,Black Wilson,1,1,1,8393
1,cboden18,2,1,2,7773
2,Joey B & the Sun Gods,3,1,3,7000
3,T Law and Order,4,1,4,5642
4,T Law and Order,5,1,5,4564
5,2 Infiniti & Bijan,6,1,6,3705
6,Allen’s Angels,7,1,7,3017
7,J&J <3,8,1,8,2465
8,T Law and Order,9,1,9,2021
9,2 Infiniti & Bijan,10,1,10,1662
10,Black Wilson,11,2,1,1372
11,cboden18,12,2,2,1136
12,Joey B & the Sun Gods,13,2,3,944
13,J&J <3,14,2,4,787
14,"Take Mahome, Country Road",15,2,5,658
15,Herb Your Enthusiasm,16,2,6,552
16,2 Infiniti & Bijan,17,2,7,464
17,Blake’s Big Boys,18,2,8,392
18,Blake’s Big Boys,19,2,9,332
19,T Law and Order,20,2,10,282
20,Black Wilson,21,3,1,241
21,J&J <3,22,3,2,205
22,Joey B & the Sun Gods,23,3,3,176
23,2 Infiniti & Bijan,24,3,4,151
24,"Take Mahome, Country Road",25,3,5,130
25,Herb Your Enthusiasm,26,3,6,113
26,2 Infiniti & Bijan,27,3,7,98
27,Blake’s Big Boys,28,3,8,85
28,Blake’s Big Boys,29,3,9,74
29,Black Wilson,30,3,10,64
30,Black Wilson,31,4,1,56
31,cboden18,32,4,2,49
32,Joey B & the Sun Gods,33,4,3,44
33,T Law and Order,34,4,4,39
34,"Take Mahome, Country Road",35,4,5,34
35,Herb Your Enthusiasm,36,4,6,31
36,Allen’s Angels,37,4,7,27
37,T Law and Order,38,4,8,25
38,J&J <3,39,4,9,22
39,Allen’s Angels,40,4,10,20
